product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_include_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,0,5
Search,India,GLOBALLOGIC INC,APAC,2025-05-02,3,3,0,0,0
REWS,Spain,PROSEGUR SA,EMEA,2025-04-22,4,1,3,2,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-24,3,2,2,2,0
HUE,Australia,SCALENCE LLC,APAC,2025-04-28,5,2,3,1,2
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,5,3,2,1
gTech,Philippines,TELUS,APAC,2025-04-22,1,1,0,0,0
Cloud,El Salvador,TELUS,LATAM,2025-05-02,4,4,0,0,0
gTech,United States,VACO,NORTH AMERICA,2025-04-21,3,5,0,0,0
Technical Infrastructure,Indonesia,G4S PLC,APAC,2025-04-24,3,4,0,0,0
YouTube,Malaysia,CONCENTRIX,APAC,2025-04-30,5,1,4,0,4
Waymo,India,WIPRO LIMITED,APAC,2025-04-28,3,2,1,0,1
Cloud,Mexico,TATA GROUP,LATAM,2025-04-24,2,2,0,0,0
YouTube,India,CONCENTRIX,APAC,2025-04-24,4,4,2,0,2
T&S,India,ACCENTURE PLC,APAC,2025-04-25,3,1,2,0,2
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-23,3,5,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-25,1,1,0,0,0
Devices & Services,India,QUEST GLOBAL SERVICES PTE. LTD.,APAC,2025-04-22,4,6,0,0,0
Technical Infrastructure,Malaysia,JONES LANG LASALLE INC,APAC,2025-04-21,5,3,2,0,2
Finance,Philippines,ACCENTURE PLC,APAC,2025-04-22,12,4,10,0,10
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,4,4,0,4
Cloud,India,INFOSYS,APAC,2025-04-30,2,1,1,0,1
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,2,1,0,1
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
YouTube,Malaysia,CONCENTRIX,APAC,2025-04-21,7,4,5,0,5
Geo,India,WIPRO LIMITED,APAC,2025-04-29,3,6,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-23,2,2,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-25,3,2,1,0,1
REWS,null,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,1,2,0,2
REWS,Finland,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-05-02,7,2,5,0,5
Cloud,United States,THE BOSTON CONSULTING GROUP INC,NORTH AMERICA,2025-05-02,12,5,9,1,8
Cloud,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-24,7,2,5,5,0
YouTube,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,1,0
Technical Infrastructure,United Kingdom,SUDLOWS ENTERPRISE SERVICES LIMITED,EMEA,2025-05-02,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
REWS,United States,MC DEAN INC,NORTH AMERICA,2025-04-24,7,1,6,6,0
Cloud,India,ACCENTURE PLC,APAC,2025-04-22,12,6,8,2,6
T&S,Ireland,ACCENTURE PLC,EMEA,2025-04-23,4,5,1,1,0
Technical Infrastructure,null,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,2025-04-25,3,3,0,0,0
Devices & Services,United States,"CADENCE DESIGN SYSTEMS, INC.",NORTH AMERICA,2025-05-02,5,5,2,0,2
Technical Infrastructure,United States,VEEAR PROJECTS INC,NORTH AMERICA,2025-04-29,6,1,5,2,3
Cloud,El Salvador,TELUS,LATAM,2025-05-02,4,3,1,1,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-21,3,2,1,0,1
POps,India,DELOITTE,APAC,2025-04-29,3,5,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-27,10,1,9,8,1
POps,India,RANDSTAD NV,APAC,2025-04-25,11,null,11,1,10
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,1,3
Technical Infrastructure,India,ACCENTURE PLC,APAC,2025-04-23,8,3,7,0,7
Technical Infrastructure,India,ACCENTURE PLC,APAC,2025-05-02,7,2,5,2,3
Corp Eng,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-27,4,1,3,3,0
Cloud,Spain,TELEPERFORMANCE SE,EMEA,2025-04-28,3,5,0,0,0
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-24,2,1,1,0,1
gTech,India,CONCENTRIX,APAC,2025-04-29,5,3,2,2,0
Technical Infrastructure,United States,THE WHITING TURNER CONTRACTING COMPANY,NORTH AMERICA,2025-04-22,3,5,0,0,0
Technical Infrastructure,United States,MILESTONE TECHNOLOGIES INC,NORTH AMERICA,2025-04-21,6,5,3,3,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-27,5,2,4,0,4
REWS,Canada,COMPASS GROUP PLC,NORTH AMERICA,2025-04-28,4,6,0,0,0
Cloud,India,DELOITTE,APAC,2025-04-24,4,3,3,1,2
T&S,India,WIPRO LIMITED,APAC,2025-04-21,4,1,3,1,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-25,21,4,19,14,5
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,2,4,0,0,0
Marketing,United States,"US TECH SOLUTIONS, INC.",NORTH AMERICA,2025-04-30,9,18,7,6,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-29,4,2,2,2,0
REWS,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-22,2,3,1,0,1
gCS,India,ACCENTURE PLC,APAC,2025-04-29,5,1,4,4,0
Cloud,United States,MEDIATEK INC,NORTH AMERICA,2025-04-29,18,5,15,14,1
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-23,11,2,9,8,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-25,3,2,1,1,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-22,9,1,8,0,8
gTech,Japan,ACCENTURE PLC,APAC,2025-04-21,5,3,2,0,2
REWS,Brazil,SODEXO,LATAM,2025-05-02,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
Cloud,India,DELOITTE,APAC,2025-04-24,5,5,2,2,0
YouTube,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-22,6,2,4,3,1
gCS,Philippines,CONCENTRIX,APAC,2025-04-30,2,2,0,0,0
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-21,4,1,3,1,2
REWS,Japan,VECTOR RISK MANAGEMENT KK,APAC,2025-04-30,5,5,2,0,2
REWS,Australia,CSE CROSSCOM PTY LTD,APAC,2025-04-28,22,1,21,4,17
Devices & Services,India,HCL TECHNOLOGIES LTD,APAC,2025-04-24,2,2,0,0,0
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-23,4,1,3,2,1
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-24,1,1,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-22,5,1,4,4,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-29,4,6,0,0,0
Ads & Commerce,Poland,TELUS,EMEA,2025-04-28,2,4,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-28,2,4,0,0,0
T&S,India,ACCENTURE PLC,APAC,2025-04-25,4,2,2,0,2
Finance,United States,"DEXIAN, LLC",NORTH AMERICA,2025-04-27,17,9,13,0,13
Core (w/o Corp Eng),India,HCL TECHNOLOGIES LTD,APAC,2025-04-21,6,5,3,0,3
DeepMind,United States,SCALE AI INC,NORTH AMERICA,2025-04-25,20,3,19,8,11
T&S,India,CONCENTRIX,APAC,2025-04-21,3,2,1,1,0
gCS,Spain,TELEPERFORMANCE SE,EMEA,2025-04-23,19,5,16,5,11
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-01,3,3,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-29,3,4,1,0,1
Corp Eng,India,ACCENTURE PLC,APAC,2025-04-24,1,1,0,0,0
Cloud,India,CAPGEMINI SE,APAC,2025-04-21,14,1,13,0,13
YouTube,India,CONCENTRIX,APAC,2025-04-21,2,1,1,1,0
Technical Infrastructure,null,INTEGRITY CONCEPTS LLC,NORTH AMERICA,2025-04-29,3,5,0,0,0
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,0,1
Technical Infrastructure,null,SCHENKER,NORTH AMERICA,2025-04-25,3,3,0,0,0
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-28,4,1,3,0,3
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-27,5,4,1,0,1
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-04-22,3,1,2,2,0
Technical Infrastructure,United States,ALLISON SMITH CO LLC,NORTH AMERICA,2025-04-23,5,5,2,2,0
Technical Infrastructure,Indonesia,G4S PLC,APAC,2025-04-21,5,4,2,2,0
REWS,India,SODEXO,APAC,2025-04-22,1,1,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,2,0
Technical Infrastructure,null,ALPHA SERVICES CORPORATION,NORTH AMERICA,2025-04-21,3,5,0,0,0
gCS,India,ACCENTURE PLC,APAC,2025-04-24,7,2,5,3,2
gCS,Canada,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-30,5,1,4,2,2
REWS,United States,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-28,2,4,0,0,0
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,1,1,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
REWS,Singapore,JONES LANG LASALLE INC,APAC,2025-05-01,7,6,3,3,0
Technical Infrastructure,Netherlands,SCHENKER,EMEA,2025-04-22,4,2,2,0,2
REWS,India,G4S PLC,APAC,2025-04-24,1,1,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-22,3,5,0,0,0
Cloud,India,ACCENTURE PLC,APAC,2025-04-22,8,4,6,1,5
REWS,Romania,SECURITAS AB,EMEA,2025-04-28,4,6,0,0,0
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
gTech,Germany,VACO,EMEA,2025-04-21,3,5,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-25,4,1,3,1,2
Corp Eng,India,DELOITTE,APAC,2025-04-24,3,2,1,0,1
Cloud,United States,DELOITTE,NORTH AMERICA,2025-04-28,7,1,6,0,6
YouTube,Portugal,GENPACT LIMITED,EMEA,2025-04-30,7,3,4,2,2
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,0,3
Devices & Services,null,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,2025-04-28,3,5,0,0,0
Platforms + Ecosystems,null,QUEST GLOBAL SERVICES PTE. LTD.,NORTH AMERICA,2025-04-29,3,5,0,0,0
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-05-02,9,8,3,3,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-24,3,3,0,0,0
Access,United States,IBEX HOLDINGS LIMITED,NORTH AMERICA,2025-04-22,3,1,2,0,2
Technical Infrastructure,United States,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,2025-04-24,3,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,5,3,2,0,2
Cloud,Romania,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-05-01,5,4,3,2,1
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-01,13,10,5,1,4
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,5,3,1,2
Technical Infrastructure,Finland,ADECCO GROUP AG,EMEA,2025-04-23,7,7,2,0,2
Technical Infrastructure,Japan,"EXECUTIVE PROTECTION, INC.",APAC,2025-04-25,1,1,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,1,0
T&S,India,WIPRO LIMITED,APAC,2025-05-01,6,1,5,4,1
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,4,9,0,9
gCS,India,REGALIX INC,APAC,2025-04-23,2,2,0,0,0
Finance,India,KPMG,APAC,2025-04-24,3,1,2,0,2
Technical Infrastructure,United States,AMENTUM COMMERCIAL OPERATIONS INC,NORTH AMERICA,2025-04-24,3,2,1,1,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-25,4,4,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,4,6,0,0,0
Devices & Services,United States,SIEMENS AG,NORTH AMERICA,2025-04-25,6,1,5,1,4
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-21,6,10,0,0,0
HUE,United States,"MAGNIT, LLC",NORTH AMERICA,2025-04-21,14,27,0,0,0
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,0,1
Geo,India,ACCENTURE PLC,APAC,2025-04-25,4,2,2,2,0
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-29,5,2,3,2,1
T&S,India,WIPRO LIMITED,APAC,2025-04-21,6,3,5,5,0
REWS,Australia,WOODS BAGOT PTY. LTD.,APAC,2025-04-22,8,1,7,1,6
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-25,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-25,8,3,5,4,1
REWS,Finland,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
T&S,India,ACCENTURE PLC,APAC,2025-04-28,5,2,3,0,3
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-21,6,3,5,0,5
POps,India,RANDSTAD NV,APAC,2025-04-28,12,5,9,0,9
REWS,India,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-23,6,2,4,3,1
Ads & Commerce,India,GLOBALLOGIC INC,APAC,2025-04-27,5,1,4,2,2
REWS,India,JAGUAR SECURITY SERVICES PVT. LTD.,APAC,2025-04-23,1,1,0,0,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-24,4,6,0,0,0
YouTube,Philippines,CONCENTRIX,APAC,2025-04-22,7,5,4,3,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-05-02,9,3,6,4,2
T&S,India,WIPRO LIMITED,APAC,2025-04-25,3,1,2,0,2
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-23,6,3,3,2,1
Cloud,India,HCL TECHNOLOGIES LTD,APAC,2025-04-21,4,2,2,2,0
POps,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,1,3,0,0,0
Finance,United States,ERNST AND YOUNG LLP,NORTH AMERICA,2025-04-25,6,1,5,1,4
Waymo,India,WIPRO LIMITED,APAC,2025-04-24,3,4,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,6,5,3,3,0
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-05-02,3,3,0,0,0
gCS,India,REGALIX INC,APAC,2025-04-23,2,2,0,0,0
T&S,Portugal,ACCENTURE PLC,EMEA,2025-04-30,11,1,10,1,9
Devices & Services,India,HCL TECHNOLOGIES LTD,APAC,2025-04-30,2,3,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-23,11,1,10,10,0
REWS,India,SODEXO,APAC,2025-05-02,3,3,0,0,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-28,5,3,2,2,0
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,2,2,0,2
T&S,India,ACCENTURE PLC,APAC,2025-04-21,6,3,5,0,5
REWS,Canada,JOHNSON CONTROLS INTERNATIONAL PLC,NORTH AMERICA,2025-04-23,3,5,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
REWS,null,COMPASS GROUP PLC,APAC,2025-04-28,3,5,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-05-01,4,5,1,0,1
Research,United States,A.G. KUNZ LLC,NORTH AMERICA,2025-04-22,10,2,8,7,1
Cloud,El Salvador,TELUS,LATAM,2025-05-02,4,3,1,1,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-24,8,1,7,7,0
T&S,India,WIPRO LIMITED,APAC,2025-05-02,4,1,3,0,3
Devices & Services,United States,DELOITTE,NORTH AMERICA,2025-04-30,11,3,8,2,6
REWS,India,SIMPLIWORK OFFICES PRIVATE LIMITED,APAC,2025-04-22,1,1,0,0,0
Access,United States,"ALAN PLUMMER ASSOCIATES, INC",NORTH AMERICA,2025-04-30,12,3,9,2,7
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,5,2,0,2
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-24,5,1,4,3,1
Ads & Commerce,India,TELEPERFORMANCE SE,APAC,2025-04-23,5,null,5,1,4
Technical Infrastructure,India,ERICSSON INC,APAC,2025-04-28,1,3,0,0,0
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,5,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
REWS,India,SODEXO,APAC,2025-05-02,3,3,0,0,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-28,3,5,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,2,2,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-24,3,4,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,8,2,6,0,6
Cloud,El Salvador,TELUS,LATAM,2025-04-24,10,13,1,0,1
Waymo,United States,"TASKUS, INC.",NORTH AMERICA,2025-04-22,5,3,2,1,1
YouTube,India,CONCENTRIX,APAC,2025-04-21,3,2,1,0,1
Cloud,India,HCL TECHNOLOGIES LTD,APAC,2025-04-23,1,1,0,0,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-28,10,4,7,7,0
Cloud,Greece,TELEPERFORMANCE SE,EMEA,2025-04-29,3,5,0,0,0
gTech,United States,VACO,NORTH AMERICA,2025-04-22,4,1,3,0,3
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-23,3,5,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,5,0,0,0
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-30,5,5,2,1,1
Cloud,United States,ACCENTURE PLC,NORTH AMERICA,2025-05-01,4,5,1,1,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-23,2,2,0,0,0
gTech,Poland,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-05-02,4,2,2,0,2
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-23,2,1,1,1,0
Geo,India,WIPRO LIMITED,APAC,2025-04-29,3,4,1,0,1
Cloud,India,HCL TECHNOLOGIES LTD,APAC,2025-05-02,3,3,0,0,0
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-21,5,3,2,2,0
Technical Infrastructure,Indonesia,G4S PLC,APAC,2025-04-23,2,3,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
YouTube,India,ACCENTURE PLC,APAC,2025-04-21,6,4,4,0,4
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-24,2,1,1,1,0
POps,United States,RANDSTAD NV,NORTH AMERICA,2025-04-29,7,7,2,1,1
gTech,Colombia,CONCENTRIX,LATAM,2025-04-23,2,2,0,0,0
POps,Denmark,WIPRO LIMITED,EMEA,2025-05-02,3,3,0,0,0
Waymo,United States,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NORTH AMERICA,2025-04-28,4,3,1,0,1
Devices & Services,India,HCL TECHNOLOGIES LTD,APAC,2025-04-28,5,3,2,0,2
Technical Infrastructure,null,EVERGREEN JANITORIAL SERVICES INC,NORTH AMERICA,2025-04-25,3,3,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,4,3,1,0,1
GBO (w/o gTech & gCS),United States,TIER1 IMPACT PBC INC DBA TIER1 PERFORMANCE,NORTH AMERICA,2025-04-22,3,4,1,1,0
REWS,United Kingdom,247 NATIONAL LIMITED,EMEA,2025-04-22,9,2,7,0,7
Technical Infrastructure,United States,"T5 DCMC, LLC",NORTH AMERICA,2025-04-28,2,4,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-24,1,1,0,0,0
Finance,United States,IBM CORPORATION,NORTH AMERICA,2025-04-24,13,4,9,0,9
Cloud,United States,PYRAMID CONSULTING INC.,NORTH AMERICA,2025-04-25,7,4,5,5,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-05-02,12,5,9,8,1
YouTube,India,ACCENTURE PLC,APAC,2025-04-27,7,1,6,1,5
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-23,3,5,0,0,0
Technical Infrastructure,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-21,4,6,0,0,0
Waymo,United States,MOOVE US LLC,NORTH AMERICA,2025-04-25,3,3,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-29,8,6,4,3,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,7,2,5,5,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-24,2,2,0,0,0
GBO (w/o gTech & gCS),Spain,MASH BRANDS PTY LTD,EMEA,2025-04-21,5,3,2,2,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-23,4,4,2,1,1
Technical Infrastructure,United States,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-04-24,1,1,0,0,0
Geo,United States,TECH MAHINDRA LIMITED,NORTH AMERICA,2025-04-23,5,5,2,2,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-05-02,3,3,0,0,0
Access,United States,TPRC BROADBAND,NORTH AMERICA,2025-04-25,19,8,13,0,13
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
Cloud,El Salvador,SERVICESOURCE INTERNATIONAL INC,LATAM,2025-04-29,3,5,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,Thailand,JONES LANG LASALLE INC,APAC,2025-04-25,16,4,14,13,1
YouTube,India,ACCENTURE PLC,APAC,2025-04-21,7,4,5,0,5
Geo,India,ACCENTURE PLC,APAC,2025-04-21,18,6,14,1,13
Cloud,United States,MANTECH ADVANCED SYSTEMS INTERNATIONAL INC,NORTH AMERICA,2025-04-22,17,5,14,0,14
Finance,United States,DELOITTE,NORTH AMERICA,2025-04-29,2,4,0,0,0
POps,China,ACCENTURE PLC,APAC,2025-04-28,19,1,18,18,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,7,0,0,0
