product_area,st_created_date,work_order_accepted_date,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,location_region,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,has_equipment,worker_active_flag,onboard_date_v2,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
gTech,2025-04-25,2025-04-25,Colombia,Access Only,2025-04-29,2025-04-01,2025-04-29,CONCENTRIX,LATAM,null,2025-05-01,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,4,1,1,3,2,2,1,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-29,2025-04-01,null,SCHENKER,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,null,null,null,1,1,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,India,Badge Only,2025-05-01,2025-05-01,null,INDIGO TELECOM GROUP LTD,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
gTech,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,EMEA,null,2025-04-30,null,2025-05-14,2025-04-30,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
POps,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-28,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,1,0,5,3,2,3,1,1,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-05-01,2025-05-01,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-29,2025-04-29,India,Access Only,2025-05-02,2025-05-01,2025-05-02,WIPRO LIMITED,APAC,null,null,2025-04-30,2025-05-17,2025-05-03,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
gTech,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Cloud,2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,HCL TECHNOLOGIES LTD,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
Waymo,2025-04-22,2025-04-22,India,Access Only,2025-04-23,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,null,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,8,6,5,8,8,1,1,null,null,6,1,null,5,5,0
Technical Infrastructure,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-28,2025-04-01,2025-05-02,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-28,2025-05-16,2025-05-02,2025-04-28,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-28,null,NO,null,null,Yes,2025-05-02,9,7,4,9,9,5,1,4,5,7,3,3,4,0,4
Technical Infrastructure,2025-04-21,2025-04-21,United States,Equipment and Access,2025-04-23,2025-04-01,2025-04-30,SCHENKER,NORTH AMERICA,null,null,2025-04-30,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-05-01,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,9,7,5,9,9,2,-1,1,9,7,2,7,5,4,1
Devices & Services,2025-04-15,2025-04-15,India,Equipment and Access,2025-04-16,2025-04-01,2025-04-28,TECH MAHINDRA LIMITED,APAC,null,null,2025-04-27,2025-05-12,2025-04-28,2025-04-16,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-27,null,NO,null,NO,Yes,2025-04-28,13,9,8,13,13,1,1,1,12,9,1,9,8,0,8
Technical Infrastructure,2025-04-22,2025-04-22,United States,Access Only,2025-04-24,2025-04-01,2025-04-28,ALLIED UNIVERSAL,NORTH AMERICA,null,null,2025-04-23,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,6,4,2,6,6,2,1,5,1,4,2,1,2,0,2
gTech,2025-04-21,2025-04-21,India,Equipment and Access,2025-04-23,2025-04-01,2025-04-30,HCL TECHNOLOGIES LTD,APAC,null,null,2025-04-27,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-27,null,NO,null,null,Yes,2025-04-30,9,7,5,9,9,2,1,3,6,7,2,5,5,5,0
Devices & Services,2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-21,2025-04-01,2025-04-28,ARCHLYNK LLC,NORTH AMERICA,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-18,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,11,7,5,11,11,4,1,0,11,7,2,7,5,0,5
REWS,2025-04-25,2025-04-25,null,Probable Badge Only,2025-04-30,2025-04-01,null,COMPASS GROUP PLC,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,null,2025-04-30,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
REWS,2025-04-29,2025-04-29,India,Badge Only,2025-05-02,2025-05-01,null,JONES LANG LASALLE INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Cloud,2025-04-25,2025-04-25,Philippines,Equipment and Access,2025-04-30,2025-04-01,2025-05-02,HCL TECHNOLOGIES LTD,APAC,null,null,2025-05-01,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,7,5,2,7,7,5,1,1,6,5,3,4,2,2,0
REWS,2025-04-23,2025-04-23,null,Badge Only,2025-04-28,2025-04-01,null,SODEXO,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,null,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
REWS,2025-04-24,2025-04-24,United States,Badge Only,2025-04-28,2025-04-01,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,null,null,null,2,2,null,0,0,0
REWS,2025-04-28,2025-04-28,Poland,Badge Only,2025-04-29,2025-04-01,null,COMPASS GROUP PLC,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,null,null,null,1,1,null,0,0,0
Ads & Commerce,2025-04-28,2025-04-28,India,Access Only,2025-04-29,2025-04-01,2025-04-29,GLOBALLOGIC INC,APAC,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
gTech,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,5,1,1,5,4,3,3,1,1,0
Cloud,2025-04-25,2025-04-25,Bulgaria,Access Only,2025-04-30,2025-04-01,2025-05-02,TELUS,EMEA,null,2025-05-02,2025-04-28,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-28,null,NO,null,null,Yes,2025-05-02,7,5,2,7,7,5,1,4,3,5,3,1,2,2,0
T&S,2025-04-15,2025-04-15,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-04-30,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-18,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,15,11,8,15,15,3,1,2,13,11,3,9,8,0,8
YouTube,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-28,GENPACT LIMITED,APAC,null,null,2025-04-23,2025-05-09,2025-04-25,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,1,5,1,3,2,1,1,0,1
Cloud,2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
T&S,2025-04-24,2025-04-24,Ireland,Equipment and Access,2025-04-28,2025-04-01,2025-05-01,ACCENTURE PLC,EMEA,null,2025-04-30,2025-04-30,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-05-01,2025-04-30,null,NO,null,null,Yes,2025-05-01,7,5,3,7,7,4,1,0,6,5,2,4,3,2,1
Platforms + Ecosystems,2025-04-25,2025-04-25,United States,Equipment and Access,2025-04-30,2025-04-01,null,WIPRO LIMITED,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-30,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Equipment and Access,2025-05-01,2025-05-01,null,UNIFY CONSULTING LLC,NORTH AMERICA,2022-09-26,2022-09-28,null,2022-10-12,2022-09-28,null,FALSE,null,Vendor,1,2025-05-01,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
REWS,2025-04-23,2025-04-23,United States,Badge Only,2025-04-28,2025-04-01,null,LUX BUS AMERICA CO,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
T&S,2025-04-25,2025-04-25,Philippines,Equipment and Access,2025-04-30,2025-04-01,2025-05-01,ACCENTURE PLC,APAC,null,null,2025-04-30,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-05-01,2025-04-30,null,NO,null,null,Yes,2025-05-01,6,4,1,6,6,5,1,0,5,4,3,3,1,0,1
Cloud,2025-04-28,2025-04-28,Greece,Access Only,2025-05-01,2025-05-01,2025-05-01,TELEPERFORMANCE SE,EMEA,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-05-01,2025-04-29,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,1,1,1,3,3,1,0,0,0
Technical Infrastructure,2025-04-29,2025-04-29,United States,Badge Only,2025-05-02,2025-05-01,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Cloud,2025-04-11,2025-04-11,India,Access Only,2025-04-16,2025-04-01,2025-04-29,INFOSYS,APAC,null,null,2025-04-15,2025-05-13,2025-04-29,2025-04-27,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-15,null,NO,null,YES,Yes,2025-04-29,18,12,9,18,18,5,1,14,4,12,3,2,9,8,1
T&S,2025-04-28,2025-04-28,India,Access Only,2025-05-01,2025-05-01,2025-05-04,WIPRO LIMITED,APAC,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,null,Vendor,1,2025-05-04,2025-05-02,null,NO,null,null,Yes,2025-05-04,6,5,2,6,6,3,null,null,4,5,3,4,2,1,1
gTech,2025-04-28,2025-04-28,Greece,Access Only,2025-04-30,2025-04-01,2025-05-01,TELEPERFORMANCE SE,EMEA,null,null,2025-04-29,2025-05-16,2025-05-02,2025-04-29,FALSE,2025-05-02,Vendor,1,2025-05-01,2025-04-29,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,2,-1,3,1,3,2,1,1,0,1
YouTube,2025-04-17,2025-04-17,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-05-02,TECH MAHINDRA LIMITED,APAC,null,null,2025-05-01,2025-05-15,2025-05-01,2025-04-19,FALSE,2025-05-01,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,15,11,10,15,15,1,1,0,14,11,1,10,10,1,9
GBO (w/o gTech & gCS),2025-04-04,2025-04-15,United Kingdom,Equipment and Access,2025-04-21,2025-04-01,2025-05-02,MORGAN MCKINLEY LTD,EMEA,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-18,FALSE,2025-05-02,Temp,1,2025-05-02,2025-04-28,null,NO,null,null,Yes,2025-05-02,28,13,9,28,28,17,1,4,24,13,4,16,9,0,9
REWS,2025-04-29,2025-04-29,India,Badge Only,2025-05-02,2025-05-01,null,JONES LANG LASALLE INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-25,2025-04-25,India,Access Only,2025-04-30,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,5,3,1,5,5,5,1,1,4,3,3,2,0,0,0
GBO (w/o gTech & gCS),2025-04-22,2025-04-23,United States,Equipment and Access,2025-04-29,2025-04-01,2025-05-04,"GARY D. NELSON ASSOCIATES, INC.",NORTH AMERICA,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,null,Temp,1,2025-05-04,2025-05-02,null,NO,null,null,Yes,2025-05-04,12,8,4,12,12,7,null,null,10,8,4,8,4,3,1
Technical Infrastructure,2025-04-08,2025-04-08,United States,Access Only,2025-04-14,2025-04-01,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,null,null,2025-04-14,2025-05-12,2025-04-28,2025-04-15,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-14,null,NO,null,YES,Yes,2025-04-29,21,15,11,21,21,6,1,14,6,15,4,4,11,1,10
Geo,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,-1,1,4,2,2,2,0,0,0
REWS,2025-04-22,2025-04-22,United Kingdom,Badge Only,2025-04-28,2025-04-01,null,CBRE GROUP INC,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,6,4,1,6,6,6,null,null,null,4,4,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Equipment and Access,2025-04-30,2025-04-01,2025-04-30,ANCHORBUOY LIMITED,NORTH AMERICA,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,1,1,2,2,1,0,0,0
Technical Infrastructure,2025-04-29,2025-04-29,null,Badge Only,2025-05-02,2025-05-01,null,EXYTE GMBH,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,null,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
gTech,2025-04-28,2025-04-28,Colombia,Access Only,2025-05-01,2025-05-01,null,CONCENTRIX,LATAM,null,2025-05-03,null,2024-10-02,2024-09-18,null,FALSE,null,Vendor,1,2025-05-01,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-30,2025-04-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,null,2,2,null,0,0,0
gTech,2025-04-24,2025-04-24,India,Access Only,2025-04-29,2025-04-01,2025-04-29,GENPACT LIMITED,APAC,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,5,-1,2,4,3,3,2,0,0,0
Technical Infrastructure,2025-04-29,2025-04-29,United States,Access Only,2025-05-02,2025-05-01,null,CROFT CONSULTING SERVICES LLC,NORTH AMERICA,null,null,null,null,null,2025-05-03,FALSE,null,Vendor,1,2025-05-02,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-24,2025-04-01,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-24,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,6,4,2,6,6,2,1,4,2,4,2,2,2,0,2
Platforms + Ecosystems,2025-04-24,2025-04-24,null,Equipment and Access,2025-04-29,2025-04-01,null,QUEST GLOBAL SERVICES PTE. LTD.,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,TRANSFER-Starters list,NO,null,null,null,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-25,2025-04-25,United States,Badge Only,2025-04-29,2025-04-01,null,DIRECT LINE GLOBAL LLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,4,null,null,null,2,2,null,0,0,0
T&S,2025-04-15,2025-04-15,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-04-29,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-09,2025-04-25,2025-04-21,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,14,10,7,14,14,3,1,1,13,10,3,9,7,1,6
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-25,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-25,null,NO,null,null,Yes,2025-04-30,8,6,3,8,8,3,1,5,3,6,3,3,3,2,1
POps,2025-04-10,2025-04-10,India,Equipment and Access,2025-04-15,2025-04-01,2025-04-29,RANDSTAD NV,APAC,2022-05-18,2022-06-01,2025-04-27,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-27,null,NO,null,NO,Yes,2025-04-29,19,13,10,19,19,5,1,2,17,13,3,12,10,8,2
Health,2025-04-24,2025-04-24,United States,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,"MEDAMERICA CONSULTING EMPLOYEES, INC.",NORTH AMERICA,null,null,2025-04-30,2025-05-15,2025-05-01,2025-05-01,FALSE,2025-05-01,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,1,6,6,3,4,3,2,1
Platforms + Ecosystems,2025-04-29,2025-04-29,United States,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,CIENET INTERNATIONAL LLC,NORTH AMERICA,null,null,null,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-16,2025-04-16,United States,Access Only,2025-04-18,2025-04-01,2025-05-02,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,null,null,2025-04-27,2025-05-16,2025-05-02,2025-04-20,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-27,null,NO,null,null,Yes,2025-05-02,16,12,10,16,16,2,1,5,11,12,2,8,10,1,9
T&S,2025-04-15,2025-04-15,Portugal,Equipment and Access,2025-04-16,2025-04-01,2025-04-29,ACCENTURE PLC,EMEA,null,null,2025-04-16,2025-05-13,2025-04-29,2025-04-16,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-16,null,NO,null,NO,Yes,2025-04-29,14,10,9,14,14,1,1,13,1,10,1,1,9,0,9
T&S,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,null,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-30,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,null,null,5,2,null,3,1,2
